run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015938,CLASE TEORICA,(1) Grupo 1,Maria Alejandra Caicedo Londoño,maria alejandra caicedo londono,3,NA,0
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015938,CLASE TEORICA,(2) Grupo 2,Maria Alejandra Caicedo Londoño,maria alejandra caicedo londono,7,NA,0
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015938,CLASE TEORICA,(3) Grupo 3,JOSE LUIS DIAZ AREVALO,jose luis diaz arevalo,0,NA,0
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015938,CLASE TEORICA,(4) Grupo 4,JOSE LUIS DIAZ AREVALO,jose luis diaz arevalo,2,NA,0
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015939,CLASE TEORICA,(1) Grupo 1,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,alvaro martin gutierrez malaxechebarria,0,NA,1
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015939,CLASE TEORICA,(2) Grupo 2,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,alvaro martin gutierrez malaxechebarria,1,NA,1
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015939,CLASE TEORICA,(3) Grupo 3,Edder Alexander Velandia Duran,edder alexander velandia duran,1,NA,1
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015939,CLASE TEORICA,(4) Grupo 4,No informado,NA,2,NA,1
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015939,NA,(5) Grupo 5,NA,NA,2,NA,1
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015940,NA,(BCA_0103) Cierre Anticipado Grupo 2,NA,NA,0,NA,2
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015940,NA,(BCA_0434) Cierre Naticipado Grupo 3,NA,NA,0,NA,2
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015940,CLASE TEORICA,(1) Grupo 1,Maritzabel Molina Herrera,maritzabel molina herrera,9,NA,2
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015940,CLASE TEORICA,(2) Grupo 2,Gabriel Andres Bernal Granados,gabriel andres bernal granados,3,NA,2
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015940,CLASE TEORICA,(3) Grupo 3,No informado,NA,1,NA,2
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015941,CLASE TEORICA,(1) Grupo 1,Patricia Luna Tamayo,patricia luna tamayo,1,NA,3
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015941,CLASE TEORICA,(2) Grupo 2,No informado,NA,5,NA,3
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015941,CLASE TEORICA,(3) Grupo 3,Carlos Ramiro Vallecilla Bahena,carlos ramiro vallecilla bahena,0,NA,3
legacy-20260721T04350000,2026-07-21T04:35+00:00,2015941,CLASE TEORICA,(4) Grupo 4,No informado,NA,3,NA,3
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(1) Grupo 1,NA,NA,13,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(10) Grupo 10,No informado,NA,7,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(11) Grupo 11,No informado,NA,8,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(12) Grupo 12,No informado,NA,4,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(13) Grupo 13,No informado,NA,3,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(14) Grupo 14,No informado,NA,14,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(16) Grupo 16,No informado,NA,8,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(17) Grupo 17,Hernan Garzon Gutierrez,hernan garzon gutierrez,3,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(19) Grupo 19,No informado,NA,10,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(2) Grupo 2,No informado,NA,10,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(20) Grupo 20,Hernan Garzon Gutierrez,hernan garzon gutierrez,7,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(21) Grupo 21,No informado,NA,7,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(22) Grupo 22,No informado,NA,6,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(23) Grupo 23,NA,NA,0,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(24) Grupo 24,Ricardo Ariel Pastran Ramirez,ricardo ariel pastran ramirez,5,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(25) Grupo 25,No informado,NA,3,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(26) Grupo 26,NA,NA,4,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(27) Grupo 27,No informado,NA,6,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(28) Grupo 28,No informado,NA,20,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(29) Grupo 29,No informado,NA,27,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(3) Grupo 3,NA,NA,14,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(30) Grupo 30,No informado,NA,8,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(32) Grupo 32,No informado,NA,10,NA,4
legacy-20260721T04350000,2026-07-21T04:35+00:00,1000004-B,NA,(4) Grupo 4,Myriam Leonor Campos Florez,myriam leonor campos florez,7,NA,4
