codigo_asignatura,asignatura,planes,tipologia,creditos,grupo,actividad,profesores,cupos_disponibles,jornada,duracion,fecha,horario_resumido,salones
3011101,Analítica descriptiva y visualización de datos,2542 INGENIERÍA CIVIL,OBLIGATORIAS,4,(1) Grupo 1 REMOTA,CLASE TEORICA,Juan David Velasquez Henao,70,DIURNO,Semestral,27/08/2026 - 18/10/2026,VIERNES 13:00-20:00,M8-102 (BLOQUE M8)
3010861,Analitica predictiva,2542 INGENIERÍA CIVIL,OBLIGATORIAS,4,(1) Grupo 1 REMOTA,CLASE TEORICA,Juan David Velasquez Henao,130,DIURNO,Semestral,27/08/2026 - 18/10/2026,SÁBADO 06:00-13:00,Virtual-4 (Aulas virtuales)
3008548,COMPORTAMIENTO MECÁNICO DE SUELOS TROPICALES,2542 INGENIERÍA CIVIL,OBLIGATORIAS,4,(1) Grupo 1,CLASE TEORICA,Yamile Valencia,20,DIURNO,Semestral,27/08/2026 - 17/12/2026,VIERNES 10:00-14:00,M1-220 (BLOQUE M1)
3008728,Geotecnia de Macizos Rocosos,2542 INGENIERÍA CIVIL,OBLIGATORIAS,4,(1) Grupo 1,CLASE TEORICA,Ludger Oswaldo Suarez Burgoa,20,DIURNO,Semestral,27/08/2026 - 17/12/2026,VIERNES 15:00-19:00,M1-308 (BLOQUE M1)
2026054,Inglés Intensivo I,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(1) Grupo 1,CLASE TEORICA,Jenny Alejandra Acosta Reyes,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 07:00-09:00; MIÉRCOLES 07:00-09:00; JUEVES 07:00-09:00; VIERNES 07:00-09:00,453-317 (453 - Guillermina Uribe Bone); DE EDUC.CONTINUADA (310-201); 453-107 (453 - Guillermina Uribe Bone)
2026054,Inglés Intensivo I,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(2) Grupo 2,CLASE TEORICA,Jenny Alejandra Acosta Reyes,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 11:00-13:00; MIÉRCOLES 11:00-13:00; JUEVES 11:00-13:00; VIERNES 11:00-13:00,454-201 (454 - Luis Carlos Sarmiento Angulo); 454-202 (454 - Luis Carlos Sarmiento Angulo); 453-105 (453 - Guillermina Uribe Bone)
2026054,Inglés Intensivo I,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(3) Grupo 3,CLASE TEORICA,Karen Dayana Rodriguez Castaneda,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 11:00-13:00; MIÉRCOLES 11:00-13:00; JUEVES 11:00-13:00; VIERNES 11:00-13:00,454-301 (454 - Luis Carlos Sarmiento Angulo); 454-307 (454 - Luis Carlos Sarmiento Angulo); 454-202 (454 - Luis Carlos Sarmiento Angulo); 453-415 (453 - Guillermina Uribe Bone)
2026054,Inglés Intensivo I,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(4) Grupo 4,CLASE TEORICA,Karen Dayana Rodriguez Castaneda,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 14:00-16:00; MARTES 14:00-16:00; MIÉRCOLES 14:00-16:00; JUEVES 14:00-16:00,401-207 (401 - Julio Garavito Armero); 453-115 (453 - Guillermina Uribe Bone); 453-109 (453 - Guillermina Uribe Bone)
2026054,Inglés Intensivo I,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(5) Grupo 5,CLASE TEORICA,SENDA VALENTINA MARÍA GARCÍA CASTAÑO,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 14:00-16:00; MARTES 14:00-16:00; MIÉRCOLES 14:00-16:00; JUEVES 14:00-16:00,401-202 (401 - Julio Garavito Armero); 453-317 (453 - Guillermina Uribe Bone); 453-415 (453 - Guillermina Uribe Bone); 401-306 (401 - Julio Garavito Armero)
2026054,Inglés Intensivo I,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(6) Grupo 6,CLASE TEORICA,ADRIANA DE LOS ANGELES QUINTERO ORJUELA,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 16:00-18:00; MARTES 16:00-18:00; MIÉRCOLES 16:00-18:00; JUEVES 16:00-18:00,401-203 (401 - Julio Garavito Armero); 453-111 (453 - Guillermina Uribe Bone); 453-115 (453 - Guillermina Uribe Bone); 401-102 (401 - Julio Garavito Armero)
