codigo_asignatura,asignatura,planes,tipologia,creditos,grupo,actividad,profesores,cupos_disponibles,jornada,dia,hora_inicio,hora_fin,salon,edificio,tipo_espacio,salon_nombre,fecha
2029352,A luchar por la educación superior I: de servicio a derecho fundamental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(4) Mesa: Bienestar universitario,CLASE TALLER,Andres Sicard Currea,0,DIURNO,,,,,,,,
2029352,A luchar por la educación superior I: de servicio a derecho fundamental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Mesa: Democracia y autonomía universitaria,CLASE TALLER,Andrea Carolina Jimenez Martin,0,DIURNO,,,,,,,,
2029352,A luchar por la educación superior I: de servicio a derecho fundamental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(2) Mesa: Modelo de financiación,CLASE TALLER,Paula Katherine Triviño Gaviria,0,DIURNO,,,,,,,,
2029352,A luchar por la educación superior I: de servicio a derecho fundamental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(3) Mesa: Política de género,CLASE TALLER,Laura Espinosa Botero,0,DIURNO,,,,,,,,
2029352,A luchar por la educación superior I: de servicio a derecho fundamental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(6) Mesa: Relación I.E.S - Sociedad,CLASE TALLER,Francisco Javier Toloza Fuentes,0,DIURNO,,,,,,,,
2029352,A luchar por la educación superior I: de servicio a derecho fundamental,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(5) Mesa: Seguridad y derechos humanos,CLASE TALLER,Erika Constanza Sabogal Muñoz,0,DIURNO,,,,,,,,
2024279,Agujeros negros y maquinas del tiempo,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,CLASE TEORICA,Eduard Alexis Larrañaga Rubio,50,DIURNO,LUNES,11:00,13:00,413-116,413 - Belisario Ruiz Wilches,SALON,SALA DE VIDEOCONFERENCIAS,27/08/2026 - 16/12/2026
2024279,Agujeros negros y maquinas del tiempo,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,CLASE TEORICA,Eduard Alexis Larrañaga Rubio,50,DIURNO,MIÉRCOLES,11:00,13:00,413-116,413 - Belisario Ruiz Wilches,SALON,SALA DE VIDEOCONFERENCIAS,27/08/2026 - 16/12/2026
2022616,Alemán II,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Alemán Electivo II,CLASE TEORICA,Diego Gonzalez Gonzalez,25,DIURNO,,,,,,,,
2022617,Alemán III,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Alemán Electivo III,CLASE TEORICA,Daniel Uriel Ventura Caceres,25,DIURNO,MARTES,11:00,13:00,225-102,225 - Rogelio Salmona,SALON,SALON 102,27/08/2026 - 12/12/2026
2022617,Alemán III,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Alemán Electivo III,CLASE TEORICA,Daniel Uriel Ventura Caceres,25,DIURNO,JUEVES,11:00,13:00,225-104,225 - Rogelio Salmona,SALON,SALON 104,27/08/2026 - 12/12/2026
2021514,"Amenaza, riesgo y desarrollo",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(1) Grupo 1 - Clase Remota - Sede Bogotá,CLASE TEORICA,Omar Joaquin Agudelo Suarez,80,DIURNO,LUNES,09:00,12:00,EXT-BOG,ESPACIOS EXTERNOS DE LA UNIVERSIDAD,SALON,NO NECESITA SALON,27/08/2026 - 16/12/2026
2027248,"Antonio Gramsci: Subalternidad, hegemonía y autonomía",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase presencial,CLASE TEORICA,Miguel Angel Herrera Zgaib,50,DIURNO,JUEVES,14:00,17:00,201-114,201 - Arturo Valencia Zea,SALON,SALON DE CLASE,27/08/2026 - 16/12/2026
2025406,Apreciación e historia del arte,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,CLASE TEORICA,Joanita Jimena Barbosa Gomez,0,DIURNO,,,,,,,,
2026433,Apreciación e historia del arte: Del barroco al impresionismo,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase presencial,CLASE TEORICA,Joanita Jimena Barbosa Gomez,125,DIURNO,VIERNES,11:00,13:00,303C-422,303 - EDIFICIO DE LAS ARTES SEDE BOGOTA,AUDITORIO,AUDITORIO 2,27/08/2026 - 16/12/2026
2011302,Asignatura por convenio con Universidad de los Andes I - PREGRADO,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,0,(1) Grupo 1,CLASE TEORICA,Docente Ajuste Derecho,0,DIURNO,,,,,,,,
2012698,Asignatura por convenio con Universidad de los Andes II - PREGRADO,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,0,(1) Grupo 1,CLASE TEORICA,Docente Ajuste Derecho,0,DIURNO,,,,,,,,
2021140,Astronomía para todos,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,,Leonardo Castañeda Colorado,50,DIURNO,MARTES,11:00,13:00,413-117,413 - Belisario Ruiz Wilches,SALON,SALON DE CLASE 117,27/08/2026 - 16/12/2026
2021140,Astronomía para todos,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,,Leonardo Castañeda Colorado,50,DIURNO,JUEVES,11:00,13:00,413-117,413 - Belisario Ruiz Wilches,SALON,SALON DE CLASE 117,27/08/2026 - 16/12/2026
