run_id,ts_inicio,ts_fin,planes,shard,n_esperadas,n_leidas,n_fallidas,codigos_fallidos,completo,n_paginas,intentos_listado
gh-31292179881,2026-08-08T22:19:22-05:00,2026-08-08T22:21:36-05:00,2542 INGENIERÍA CIVIL,1/1,84,19,65,2029269;2017771;2016058;1000012-B;2015568;2017773;1000009-B;2017775;2015570;2016342;2015162;2015709;2029268;2029265;2022897;2015572;1000037-B;1000038-B;2015575;2015270;1000017-B;2015576;2016650;2017778;1000021-B;2015496;2015497;2015172;2015577;1000040-B;2015675;2028061;2022902;2029270;2015585;2029455;2029457;2029267;2025338;2025339;2029266;2027544;2015589;1000035-B;2015587;1000025-B;2015593;2015504;2027211;2027525;2015595;1000028-B;2022908;2015596;2015597;2015599;2026364;2015668;2015600;1000034-B;1000036-B;2016609;2015482;2015281;2025340,0,,
gh-31292353798,2026-08-08T22:24:31-05:00,2026-08-08T22:26:36-05:00,2542 INGENIERÍA CIVIL,1/1,80,15,65,2015672;2015649;2015678;2029149;2015673;2027884;1000012-B;2015647;1000010-B;2015570;2015651;2015652;2024799;2027882;2015653;1000014-B;2029465;2029466;2015657;2015658;2015681;2029461;2015682;2015683;2029464;2029462;2015684;1000037-B;1000038-B;2015685;2015686;1000022-B;2029467;2015674;2027883;2027885;1000040-B;2015675;2015663;2015687;1000035-B;1000027-B;1000025-B;2015676;1000023-B;2015688;2015791;2015689;2015691;2015666;2015690;2015667;1000026-B;1000028-B;2029150;2015597;2015668;1000034-B;1000036-B;2015677;2015692;2015693;2015286;2015287;2015670,0,,
gh-31297624895,2026-08-09T00:52:26-05:00,2026-08-09T00:54:35-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31300443978,2026-08-09T02:08:05-05:00,2026-08-09T02:09:24-05:00,2542 INGENIERÍA CIVIL,1/1,62,10,52,2016080;2029054;2016061;2029618;1000131-B;1000137-B;1000144-B;1000156-B;2016063;2016064;2016065;2016066;2016068;2016918;2016062;2016069;2016070;2016071;2016072;2016073;2016074;2016075;2016076;2016077;2016078;2016079;2016081;2016082;2016083;2016084;2016085;2016086;2016093;2016094;2016087;2016088;2016089;2016090;2016091;2016092;2016097;2016098;2016099;2016100;2016101;2016102;2016103;2016104;2016105;2016106;2015304;2015305,0,,
gh-31302862067,2026-08-09T03:10:22-05:00,2026-08-09T03:12:51-05:00,2542 INGENIERÍA CIVIL,1/1,98,25,73,2015555;2016696;2027641;2019072;2016697;2025983;2016716;2016353;2016377;2015556;2015162;2027642;2025965;2016722;2025960;2016492;2026551;2027310;2016028;2016498;2016698;2016699;2016741;2016037;2016007;1000017-B;2015168;2015702;2016599;2016600;2016701;2016702;2025986;1000048-B;2023925;2023926;2024731;2022291;2021183;2021184;2023927;2016748;2023251;2025972;2027311;2025975;2027631;2015173;2015174;2026573;2025995;2025966;2028837;2025963;2025964;2016753;2025969;2019082;2016703;2015178;2025967;2025982;2016053;2015181;2016707;2016615;2016788;2027313;2025994;2027628;2016843;2025973;2025974,0,,
gh-31305643470,2026-08-09T04:19:59-05:00,2026-08-09T04:22:00-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31307524895,2026-08-09T05:06:30-05:00,2026-08-09T05:07:33-05:00,2542 INGENIERÍA CIVIL,1/1,67,0,67,3007282;1000003-M;1000004-M;1000005-M;3007182;3007368;3007307;3007311;3007287;3007193;1000007-M;3006914;3006915;3009137;3008663;3007290;1000017-M;1000020-M;1000019-M;1000018-M;3010389;3010435;1000008-M;3007315;3007294;3007295;3008912;3007297;1000044-M;1000048-M;1000045-M;1000049-M;1000046-M;1000050-M;1000053-M;1000047-M;1000051-M;3007319;3007298;3007322;3007323;3007324;3007325;3006852;1000002-M;3006760;3006904;3009951;3007301;3007302;1000001-M;3006906;3006905;3007210;3006907;3009743;3007305;3007844;3007845;3007846;3007331;3007872;3007702;3007332;3007333;3007304;3007306,0,,
gh-31309220228,2026-08-09T05:48:19-05:00,2026-08-09T05:50:31-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31311246746,2026-08-09T06:37:36-05:00,2026-08-09T06:39:45-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31315002005,2026-08-09T08:07:42-05:00,2026-08-09T08:09:22-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31317698665,2026-08-09T09:09:23-05:00,2026-08-09T09:10:47-05:00,2542 INGENIERÍA CIVIL,1/1,63,11,52,2026555;2015555;2028836;2016696;2027641;2019072;2016697;2016353;1000010-B;2028838;2016342;2016377;2015556;2015162;2027642;2029275;2016722;2025960;2016698;2016699;2027632;2022689;2016651;2015168;2015152;2016701;2025196;2027311;2027631;2025819;2015174;2026573;2025995;2027312;2015155;2025966;2015176;2024065;2029272;2015178;2028641;1000041-B;2025967;2015181;2016707;2027313;2015184;2027628;2029274;2027634;2027636;2027633,0,,
gh-31320087122,2026-08-09T10:03:32-05:00,2026-08-09T10:05:34-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31321697284,2026-08-09T10:39:40-05:00,2026-08-09T10:42:00-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
gh-31324642392,2026-08-09T11:46:22-05:00,2026-08-09T11:48:04-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,,
